Date,IBOV,S&P500,r_IBOV,r_S&P500,mean_r_IBOV,var_r_IBOV,mean_r_S&P500,var_r_S&P500
2011-03-24,67533.0,1309.6600341796875,0.9961207150864357,1.009340748456552,1.0757424182122135,0.0007480348133253479,0.9002966950608305,0.00020304731755248199
2011-03-25,67766.0,1313.800048828125,1.0034501651044674,1.0031611368907891,1.0750129746079788,0.0007157649023718664,0.9008812889941769,0.00019427037403093556
2011-03-28,67193.0,1310.18994140625,0.9915444323111885,0.9972521637329096,1.074078802833721,0.0006804853636422607,0.9014401759237647,0.00018311497382499426
2011-03-29,67419.0,1319.43994140625,1.0033634455970115,1.0070600450420737,1.0731223433893207,0.0006344084018166329,0.902061530298894,0.00017608936756933124
2011-03-30,67997.0,1328.260009765625,1.0085732508639997,1.0066847062019166,1.0719646581230626,0.0005425145350255471,0.9026461242322403,0.00017712778223734162
2011-03-31,68587.0,1325.8299560546875,1.0086768533905908,0.9981704984769012,1.0712852025790047,0.0004908615781427593,0.9032275381090119,0.00017557065731347833
2011-04-01,69268.0,1332.4100341796875,1.0099289952906527,1.0049629879721382,1.070752845657887,0.0004419497774872823,0.9037688748377797,0.0001796308383001216
2011-04-04,69704.0,1332.8699951171875,1.006294392793209,1.000345209752029,1.0703656769879835,0.0004033978820478343,0.9042919679953016,0.0001838122230225305
2011-04-05,69838.0,1332.6300048828125,1.001922414782509,0.9998199447543615,1.0702956300246784,0.0003972187355152953,0.904992788357111,0.00018194701092113857
2011-04-06,69037.0,1335.5400390625,0.9885305993871532,1.0021836775166588,1.07012847249861,0.0003859544807618751,0.905756767847855,0.00017944515009778603
2011-04-07,69176.0,1333.510009765625,1.0020134130973246,0.998479993682331,1.0701421634959831,0.00038681472324165344,0.9064499881275059,0.0001766623277100943
2011-04-08,68718.0,1328.1700439453125,0.9933792066612698,0.9959955562528915,1.0699164212369685,0.0003731832846301477,0.9069658962129052,0.00017473688664449485
