Date,Taxa SELIC,SELIC_daylly,r_SELIC,a,b,c,aloc,k1,k2,r_ef,var_ef,k3
2009-03-02,0.25,1.0000068407910654,0.0003420968851615136,0.007561507525304628,-0.010098798173792166,0.0035269927735565253,[ 0.26  0.02 -0.04  0.76],0.6071172882005058,0.00016939488326450327,0.6985132727796541,0.00016226495238577237,0.5671867199442137
2009-03-03,0.25,1.0000068407910654,0.0003420968851615136,0.007283826857441654,-0.00967252538486103,0.0033724494997429797,[ 0.3  -0.03 -0.04  0.77],0.573506979805649,0.00017782714687685473,0.6973427343903298,0.00016941370343168203,0.5325390841204367
2009-03-04,0.25,1.0000068407910654,0.0003420968851615136,0.007200404085124887,-0.009148703342720546,0.0030897595678240973,[ 0.38 -0.01 -0.07  0.71],0.5312320130971275,0.00021985771646791487,0.6754746402716207,0.00019534196422811508,0.4842054577555304
2009-03-05,0.25,1.0000068407910654,0.0003420968851615136,0.008118498182834593,-0.009502594566822972,0.003002183345617277,[ 0.51  0.04 -0.13  0.58],0.5454702948913398,0.000309778292871757,0.6318932973379822,0.00023918568271009312,0.48572625131943076
2009-03-06,0.25,1.0000068407910654,0.0003420968851615136,0.009062136694297897,-0.010148973784368654,0.003086284949087194,[ 0.59  0.06 -0.16  0.51],0.5792593939937483,0.00037253566227289956,0.6082259403205603,0.0002658517498917859,0.5111140997314696
2009-03-09,0.25,1.0000068407910654,0.0003420968851615136,0.010031754170773786,-0.010811876146982043,0.003178306692688137,[ 0.65  0.1  -0.19  0.45],0.6160823865172407,0.00043456243162388934,0.5879599571086523,0.0002893028874296437,0.5398564919371689
2009-03-10,0.25,1.0000068407910654,0.0003420968851615136,0.010227491860317703,-0.01091776252119239,0.003177610795829103,[ 0.64  0.12 -0.19  0.43],0.6295115282574151,0.0004410349790766232,0.5821302811452255,0.0002878987274239835,0.5519332692792471
2009-03-11,0.25,1.0000068407910654,0.0003420968851615136,0.01042902069159806,-0.011153450942187353,0.0032470015868286744,[ 0.63  0.12 -0.18  0.43],0.6407088524837181,0.00044139179835046247,0.582272018910724,0.00028852170627593907,0.5631014057756254
2009-03-12,0.25,1.0000068407910654,0.0003420968851615136,0.01140854742412239,-0.01252019127366901,0.003711987416592613,[ 0.61  0.07 -0.14  0.46],0.6855361517355789,0.00043967336213084204,0.5929877756412365,0.00029930593532531116,0.6093999816422658
2009-03-13,0.25,1.0000068407910654,0.0003420968851615136,0.011946619203396335,-0.01324816756975992,0.00394946454390349,[ 0.61  0.06 -0.13  0.47],0.7183402960182207,0.0004310158237454084,0.5962538253175117,0.0002974395750883813,0.6433259336479149
